epoch,con_loss,adv_loss,dic_loss
7,0.3463,,
7,0.246,,
7,0.2573,,
7,0.5348,,
7,0.245,,
7,0.1872,,
7,0.2343,,
7,0.3464,,
7,0.285,,
7,0.1983,,
7,0.142,,
7,0.222,,
7,0.1769,,
7,0.4794,,
7,0.3258,,
7,0.1817,,
7,0.2404,,
7,0.2117,,
7,0.2697,,
7,0.1954,,
7,0.1925,,
7,0.2799,,
7,0.2663,,
7,0.2146,,
7,0.3404,,
7,0.2307,,
7,0.3091,,
7,0.1131,,
7,0.2097,,
7,0.2946,,
7,0.1929,,
7,0.1945,,
7,0.199,,
7,0.4181,,
7,0.2695,,
7,0.2622,,
7,0.3371,,
7,0.2024,,
7,0.2332,,
7,0.1765,,
7,0.3029,,
7,0.3011,,
7,0.2699,,
8,0.3936,,
8,0.2009,,
8,0.2267,,
8,0.2747,,
8,0.2399,,
8,0.1506,,
8,0.2625,,
8,0.1257,,
8,0.2864,,
8,0.15,,
8,0.3307,,
8,0.1398,,
8,0.2476,,
8,0.2595,,
8,0.2296,,
8,0.2564,,
8,0.241,,
8,0.1882,,
8,0.2038,,
8,0.158,,
8,0.2073,,
8,0.3603,,
8,0.2353,,
8,0.1673,,
8,0.2046,,
8,0.3504,,
8,0.222,,
8,0.2849,,
8,0.3022,,
8,0.3445,,
8,0.2612,,
8,0.2341,,
8,0.4203,,
8,0.243,,
8,0.379,,
8,0.3024,,
8,0.3519,,
8,0.2535,,
8,0.2502,,
8,0.2296,,
8,0.2756,,
8,0.1362,,
8,0.2296,,
8,0.2837,,
8,0.1848,,
8,0.3238,,
8,0.2207,,
8,0.3363,,
8,0.3575,,
8,0.258,,
9,0.2384,,
9,0.2851,,
9,0.1561,,
9,0.4556,,
9,0.3896,,
9,0.362,,
9,0.305,,
9,0.4828,,
9,0.33,,
9,0.1725,,
9,0.2819,,
9,0.2369,,
9,0.2664,,
9,0.2518,,
9,0.1955,,
9,0.253,,
9,0.2121,,
9,0.1738,,
9,0.1384,,
9,0.1632,,
9,0.2404,,
9,0.2549,,
9,0.3108,,
9,0.1978,,
9,0.2933,,
9,0.2037,,
9,0.2272,,
9,0.1988,,
9,0.1964,,
9,0.2594,,
9,0.2841,,
9,0.3508,,
9,0.2069,,
9,0.1941,,
9,0.3259,,
9,0.3092,,
9,0.4067,,
9,0.2372,,
9,0.1805,,
9,0.3168,,
9,0.2667,,
9,0.3205,,
9,0.4028,,
9,0.2333,,
9,0.2759,,
9,0.2076,,
9,0.3488,,
9,0.3504,,
9,0.2085,,
9,0.2432,,
10,0.3327,,
10,0.2635,,
10,0.3295,,
10,0.3043,,
10,0.2504,,
10,0.4026,,
10,0.2463,,
10,0.3659,,
10,0.3034,,
10,0.1479,,
10,0.2503,,
10,0.2904,,
10,0.191,,
10,0.2288,,
10,0.2655,,
10,0.3975,,
10,0.1652,,
10,0.2423,,
10,0.2601,,
10,0.1835,,
10,0.1913,,
10,0.386,,
10,0.2357,,
10,0.2728,,
10,0.2574,,
10,0.3464,,
10,0.1753,,
10,0.2137,,
10,0.1367,,
10,0.2403,,
10,0.2025,,
10,0.2502,,
10,0.28,,
10,0.1394,,
10,0.2721,,
10,0.1533,,
10,0.2282,,
10,0.1842,,
10,0.21,,
10,0.2146,,
10,0.1907,,
10,0.2116,,
10,0.2745,,
10,0.2386,,
10,0.2011,,
10,0.1321,,
10,0.1001,,
10,0.28,,
10,0.2057,,
10,0.2057,,
11,0.2787,,
11,0.2971,,
11,0.2112,,
11,0.4172,,
11,0.2842,,
11,0.255,,
11,0.3076,,
11,0.3198,,
11,0.1766,,
11,0.3608,,
11,0.3434,,
11,0.3594,,
11,0.2171,,
11,0.2165,,
11,0.2536,,
11,0.2058,,
11,0.3143,,
11,0.2385,,
11,0.1758,,
11,0.2003,,
11,0.2929,,
11,0.2202,,
11,0.2245,,
11,0.3201,,
11,0.359,,
11,0.258,,
11,0.1886,,
11,0.2472,,
11,0.3301,,
11,0.1917,,
11,0.2171,,
