mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_test,acc_validate_float
Euclidean_Sigmoid,10,0.001,0.55,0.0001,349.37919759750366,"[0.23836118365678977, 0.21362315250851602, 0.20294537337578142, 0.19635363045529067, 0.19145922385011888, 0.18737244031104644, 0.18367848118517577, 0.18015380561920982, 0.17666708117635793, 0.1731396492712626, 0.16952827170635282, 0.16581672159581332, 0.16201055817686202, 0.15813252415240658, 0.15421758468817087, 0.15030757378987733, 0.14644593884876003, 0.14267323562345235, 0.13902389162869855, 0.13552444610915854, 0.13219314139110996, 0.12904050873547424, 0.12607051674580436, 0.12328191234992983, 0.12066951608747596, 0.11822536226689562, 0.11593965826912694, 0.1138015724265572, 0.11179986555926423, 0.10992337801646872]","[0.838, 0.8686, 0.8796000000000002, 0.8842000000000001, 0.8862000000000001, 0.8868, 0.8890000000000001, 0.8908, 0.8922000000000001, 0.8962000000000001, 0.8974000000000001, 0.9002, 0.904, 0.9044000000000001, 0.9066000000000002, 0.9088000000000002, 0.9120000000000001, 0.9126000000000001, 0.9154000000000001, 0.918, 0.9192, 0.9208000000000001, 0.9218000000000001, 0.9234000000000001, 0.9246000000000001, 0.9256000000000001, 0.9266000000000001, 0.928, 0.9284000000000001, 0.9294000000000001]",0.9161,0.9046266666666668
Euclidean_ReLU,10,0.001,0.99,0.0001,391.41311049461365,"[0.07845318137437149, 0.06966425223821666, 0.0662290786278284, 0.06284951144520795, 0.060395394849862116, 0.058904259150851325, 0.05830303034241077, 0.057263506696047274, 0.05648543210119148, 0.05617899916869594, 0.05568609383642389, 0.055149249476278896, 0.05408692031448116, 0.053565846413220305, 0.053389428205251575, 0.05240801831071421, 0.05237547746029527, 0.052419782183814656, 0.052494098941935206, 0.05273066002939827, 0.05303456128888263, 0.05205720681676823, 0.05226810325138488, 0.050646221433611485, 0.05089423496194333, 0.049915793500895096, 0.0497950270986602, 0.04925116133255695, 0.0487687970817437, 0.04848664329691324]","[0.9464000000000001, 0.9526000000000001, 0.9560000000000001, 0.9604000000000001, 0.962, 0.9626, 0.9638, 0.9658000000000001, 0.965, 0.9658000000000001, 0.966, 0.9668000000000002, 0.9686000000000001, 0.9712000000000001, 0.9706, 0.9718000000000001, 0.9712000000000001, 0.973, 0.972, 0.9716, 0.9726000000000001, 0.9730000000000001, 0.9722000000000001, 0.9728000000000001, 0.9736000000000001, 0.9742000000000001, 0.9736, 0.9732000000000001, 0.974, 0.9728000000000001]",0.9661000000000001,0.9678400000000001
CrossEntropy_Sigmoid,10,0.001,0.55,1e-05,429.77079606056213,"[0.8944735146564363, 0.5787039352339894, 0.4591946246490029, 0.39738650691899363, 0.3597354704906566, 0.33435286001499626, 0.3160056345205526, 0.30204958267317134, 0.2910118735580964, 0.2820095778056926, 0.27448190349580454, 0.268055632125977, 0.26247265392038216, 0.2575486723163917, 0.2531485238827236, 0.24917081454935372, 0.2455380111756857, 0.24218985086927483, 0.23907883653693848, 0.23616708370940478, 0.2334240659870062, 0.23082497229562426, 0.2283494894798516, 0.22598088612135311, 0.22370531321056922, 0.2215112632288346, 0.21938914649116295, 0.21733095536249777, 0.21532999509572337, 0.21338066574465797]","[0.8598000000000001, 0.89, 0.902, 0.9084000000000001, 0.9142, 0.9184000000000001, 0.9200000000000002, 0.9222, 0.9244000000000001, 0.9252, 0.9270000000000002, 0.9272, 0.9298000000000001, 0.93, 0.9312, 0.932, 0.933, 0.933, 0.934, 0.9346000000000001, 0.9354000000000001, 0.9358000000000001, 0.9358000000000001, 0.9360000000000002, 0.9374000000000001, 0.9378000000000001, 0.9384000000000001, 0.9392, 0.9396000000000001, 0.9404000000000001]",0.9267000000000001,0.92574
CrossEntropy_ReLU,10,0.001,0.99,1e-05,393.383177280426,"[0.11989968974397595, 0.10602467090037623, 0.09801073736782709, 0.09604040412981754, 0.09727111068583887, 0.0915166844291801, 0.09383870432713882, 0.09349421895460384, 0.09257172561820391, 0.09589928169444162, 0.0955209715117669, 0.09823922631577682, 0.09406367886319413, 0.08789222956051293, 0.0883505322253687, 0.0884291394005464, 0.08821374856085748, 0.08778089364875546, 0.08776435106050817, 0.08747472132456353, 0.08719616170491931, 0.0869765349848717, 0.08693239818238052, 0.08652228935583176, 0.0865224330104588, 0.08614620707036069, 0.08599827628207103, 0.08572305419423469, 0.08552844428327626, 0.08543261847247281]","[0.9638, 0.9698000000000001, 0.9728000000000001, 0.975, 0.9752000000000001, 0.9772000000000001, 0.9772000000000001, 0.976, 0.9768000000000001, 0.9778000000000002, 0.9784, 0.978, 0.9792000000000001, 0.9806, 0.9812000000000001, 0.9812000000000001, 0.981, 0.9812000000000001, 0.9812000000000001, 0.9814, 0.9814, 0.9812000000000001, 0.9816000000000001, 0.9816000000000001, 0.9814, 0.9812000000000001, 0.9808000000000001, 0.9812000000000001, 0.9810000000000001, 0.9810000000000001]",0.9802000000000001,0.9785800000000003
