mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
CrossEntropy_Sigmoid,100,0.001,0.55,0.001,87.06830191612244,"[2.019765646592555, 1.8032552455943496, 1.6182549840877056, 1.4603992771762102, 1.3262202797897604, 1.2124129243028365, 1.1158615770162443, 1.0337462559685173, 0.963614356338172, 0.9033961393897907, 0.8513794439021463, 0.8061644298254877, 0.7666131949283448, 0.7318022788357312, 0.7009813870976543, 0.6735390829576269, 0.6489749840247266, 0.6268775499602414, 0.606906469453983, 0.5887787382417404]","[0.4844, 0.6494, 0.7328, 0.775, 0.8016000000000001, 0.8216000000000001, 0.8358, 0.8476, 0.8554, 0.8634, 0.8683999999999998, 0.8724, 0.8764, 0.8787999999999999, 0.8814, 0.8842, 0.8874000000000001, 0.8887999999999998, 0.8897999999999999, 0.8915999999999998]",0.8243099999999999
CrossEntropy_ReLU,100,0.001,0.99,0.001,79.01002287864685,"[0.22577524112625524, 0.17379358836221712, 0.1526692127757441, 0.13864705557823778, 0.12742052418116942, 0.11853831582002859, 0.11205509948296077, 0.10691650053337325, 0.10285695559659189, 0.09945122799445805, 0.09671393124193782, 0.0943138803641227, 0.09221737743913955, 0.09044674124428552, 0.08891172514080845, 0.08759193342919733, 0.08639646281849163, 0.08534790281551011, 0.08442733398453596, 0.08351667650216432]","[0.9378, 0.9558, 0.9613999999999998, 0.9627999999999999, 0.9658, 0.9669999999999999, 0.9705999999999999, 0.9717999999999999, 0.9732, 0.9758, 0.9767999999999999, 0.9767999999999999, 0.9777999999999999, 0.9789999999999999, 0.9792000000000001, 0.9797999999999998, 0.9797999999999999, 0.9795999999999999, 0.9799999999999999, 0.9810000000000001]",0.9715900000000002
Euclidean_Sigmoid,100,0.001,0.55,0.0001,81.39579439163208,"[0.40203178768559084, 0.33277713238912043, 0.2993397591757576, 0.2792440574153236, 0.2656888701226922, 0.25586174271901124, 0.24836816134840334, 0.24243342620016828, 0.23759218715935837, 0.23354812727203705, 0.2301036895879135, 0.22712214167477943, 0.22450585888009156, 0.22218327961239642, 0.2201007467578552, 0.21821722680836517, 0.21650078953113566, 0.2149262006968398, 0.21347323887215722, 0.21212549510151882]","[0.48800000000000004, 0.6553999999999999, 0.7343999999999999, 0.7716, 0.7978000000000001, 0.8128, 0.8228, 0.833, 0.8386000000000001, 0.8448000000000002, 0.8508000000000001, 0.8534, 0.8572, 0.8590000000000001, 0.8614, 0.8616000000000001, 0.8644000000000002, 0.8668, 0.8684000000000002, 0.8680000000000001]",0.8105100000000001
Euclidean_ReLU,100,0.001,0.99,0.0001,88.49316167831421,"[0.12303438996578331, 0.08860506861796655, 0.08078489759775331, 0.07632150782676786, 0.07320526769709215, 0.07090535546608033, 0.06908675947099578, 0.06760252284202131, 0.06627834661947898, 0.0650974107781717, 0.06399574295893838, 0.06307946144359625, 0.06220740866195928, 0.06147563457650412, 0.06081830165458374, 0.06019994785121817, 0.05968575872796039, 0.05912876090700798, 0.05864702197987787, 0.058241455074342446]","[0.9087999999999999, 0.9373999999999999, 0.9448000000000002, 0.9478, 0.9516, 0.9538000000000001, 0.9528, 0.9531999999999999, 0.9538, 0.9553999999999999, 0.9562, 0.9573999999999999, 0.9578, 0.9584, 0.9586000000000001, 0.9591999999999998, 0.9596000000000001, 0.9608000000000001, 0.9612, 0.9614]",0.9525000000000002
CrossEntropy_Sigmoid,100,0.001,0.55,0.0001,88.82291626930237,"[2.0336907797261388, 1.798589231055107, 1.6011313935461178, 1.4352858103562374, 1.2962554279176706, 1.1798453536513054, 1.0822634677394154, 1.0001569485690105, 0.9306706652675654, 0.8714495064686923, 0.8205913186861454, 0.7765771890884018, 0.738199312416475, 0.7044966045318718, 0.6747013738128764, 0.6481968902839803, 0.6244843343865193, 0.6031573105968575, 0.5838822594170766, 0.5663833890875103]","[0.4708, 0.6512, 0.7268000000000001, 0.7667999999999999, 0.7951999999999999, 0.8126000000000001, 0.829, 0.848, 0.8565999999999999, 0.8654000000000001, 0.8722, 0.8754, 0.879, 0.882, 0.8852000000000001, 0.8864, 0.8906000000000001, 0.8921999999999999, 0.8933999999999999, 0.8962]",0.8237499999999999
CrossEntropy_ReLU,100,0.001,0.99,0.0001,89.20324540138245,"[0.23040020357007115, 0.17043784625938993, 0.14406129290445405, 0.1269508956494235, 0.11365923999601213, 0.10460927286459207, 0.09808939100188592, 0.09301542269779103, 0.08890926547814326, 0.08559624761468271, 0.08308860682292636, 0.08098320244127129, 0.07935888598602713, 0.07798983359247917, 0.07675352578519573, 0.075731628276811, 0.07496518268086004, 0.07419550258797296, 0.0735599704206877, 0.07302254632230681]","[0.9358, 0.955, 0.9623999999999999, 0.9672, 0.9712000000000001, 0.9722, 0.9725999999999999, 0.9743999999999999, 0.976, 0.9767999999999999, 0.9775999999999999, 0.9782, 0.9776, 0.9782, 0.9773999999999999, 0.9777999999999999, 0.9782, 0.978, 0.9786, 0.9786]",0.97219
Euclidean_Sigmoid,100,0.001,0.55,1e-05,89.74816513061523,"[0.4055092736497922, 0.3372117355735208, 0.30493794038622296, 0.28519649584764606, 0.27151207900258834, 0.26132887963859697, 0.2533922835297096, 0.24699867977305368, 0.24171710540626962, 0.23726643524882424, 0.23345436353406845, 0.23014435637623215, 0.2272365333805087, 0.2246560114698665, 0.2223454856289668, 0.2202603329486909, 0.21836528118888926, 0.2166320815769117, 0.21503784593630842, 0.2135638350433716]","[0.48879999999999996, 0.6388, 0.7158000000000001, 0.755, 0.7803999999999999, 0.7978000000000001, 0.8086, 0.8182, 0.8269999999999998, 0.8323999999999999, 0.8378, 0.8426, 0.848, 0.8506000000000001, 0.8534, 0.855, 0.8562000000000001, 0.858, 0.861, 0.8615999999999999]",0.79935
Euclidean_ReLU,100,0.001,0.99,1e-05,86.84500336647034,"[0.12086158593266942, 0.09138613343652555, 0.08209090854698475, 0.07730793924082391, 0.07413304037892639, 0.07171775449675369, 0.0698709354640264, 0.06834340245819845, 0.0671009252251613, 0.06602637472474424, 0.0649721478804211, 0.06404908360002737, 0.0632348674454047, 0.062486701245956906, 0.061817641057530535, 0.06120497607712335, 0.06055411331595109, 0.059860339946401206, 0.059184994084042285, 0.058573186073204345]","[0.9006000000000001, 0.9288000000000001, 0.937, 0.943, 0.9448000000000001, 0.9475999999999999, 0.9485999999999999, 0.9486000000000001, 0.9506, 0.9514000000000001, 0.9516000000000001, 0.9528, 0.9544, 0.9553999999999999, 0.956, 0.9569999999999999, 0.9574000000000001, 0.9586, 0.9595999999999999, 0.9598]",0.94818
CrossEntropy_Sigmoid,100,0.001,0.55,1e-05,98.44852805137634,"[2.014637289436396, 1.7918110122740378, 1.6014766330248134, 1.4397419966523837, 1.3029921693323092, 1.1877040952766373, 1.0905173942054098, 1.0083726078398016, 0.9386089698534859, 0.8789932554274698, 0.8276954012458948, 0.7832366506427217, 0.7444299875602478, 0.710323888327756, 0.6801539768636075, 0.653303531041436, 0.6292721130521632, 0.6076510203044635, 0.5881042032172116, 0.5703534566632499]","[0.5055999999999998, 0.6851999999999999, 0.7462000000000001, 0.7824, 0.8073999999999999, 0.8245999999999999, 0.8360000000000002, 0.8466000000000001, 0.8549999999999999, 0.8608, 0.8658, 0.8700000000000001, 0.8736000000000002, 0.8756, 0.878, 0.8800000000000001, 0.8814, 0.8832000000000001, 0.8854000000000001, 0.8858]",0.82643
CrossEntropy_ReLU,100,0.001,0.99,1e-05,102.32738614082336,"[0.22322786553901147, 0.16572498699567628, 0.14056547751390666, 0.12293138560335165, 0.11141914289572961, 0.1028428015101837, 0.09621782458967658, 0.09115013056550601, 0.08733032809583564, 0.08427075430291767, 0.08221827574751119, 0.08058811177806396, 0.07918673683797754, 0.07786556506513509, 0.07652775491558601, 0.07537765815599415, 0.07427199007933118, 0.07353009635321055, 0.07290453786430078, 0.0723565207274141]","[0.938, 0.9566000000000001, 0.9628, 0.9678, 0.972, 0.9739999999999999, 0.9767999999999999, 0.9767999999999999, 0.976, 0.9768000000000001, 0.9764, 0.9777999999999999, 0.9786, 0.9789999999999999, 0.9790000000000001, 0.9786, 0.9788, 0.9789999999999999, 0.9789999999999999, 0.9784]",0.9731099999999999
