mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
CrossEntropy_Sigmoid,100,0.001,0.55,1e-05,87.26059794425964,"[2.0394249122976387, 1.813701121788175, 1.6220671046076287, 1.4592018338172354, 1.3214999294510583, 1.2053724828403645, 1.1074009344011813, 1.0245017028206336, 0.9540122952529897, 0.8937048686692434, 0.8417536575318614, 0.7966808524792423, 0.7572975455400729, 0.7226487195410463, 0.6919659867638237, 0.6646287971496608, 0.6401334259229473, 0.6180685431896901, 0.5980961106614173, 0.5799364835741491]","[0.4534, 0.6118, 0.6969999999999998, 0.7525999999999999, 0.7874, 0.8075999999999999, 0.828, 0.8383999999999997, 0.8524, 0.8596, 0.8634000000000001, 0.8682000000000002, 0.8718, 0.8739999999999999, 0.8761999999999999, 0.8795999999999998, 0.8823999999999999, 0.8843999999999999, 0.8855999999999998, 0.8886]",0.81312
CrossEntropy_ReLU,100,0.001,0.99,1e-05,73.20118117332458,"[0.22148675894657038, 0.16435740396122633, 0.13996994418546813, 0.12207724740620175, 0.11058232405526106, 0.10251738240528863, 0.0960335673860849, 0.09100379359093946, 0.08700629979212543, 0.08388338672302426, 0.08149733194572219, 0.0794264529728624, 0.07780852775977948, 0.07645751314758144, 0.07491810641319112, 0.07365778554079262, 0.07263782054353687, 0.07182640697378495, 0.07098770388468582, 0.07033962743006458]","[0.9390000000000001, 0.9571999999999999, 0.9623999999999999, 0.9677999999999999, 0.9689999999999999, 0.9697999999999998, 0.9721999999999998, 0.9733999999999999, 0.9732, 0.9743999999999999, 0.9752, 0.975, 0.9755999999999999, 0.9764, 0.9760000000000001, 0.9764, 0.9775999999999998, 0.978, 0.9782, 0.978]",0.9712400000000001
Euclidean_Sigmoid,300,0.001,0.55,0.0001,60.541882276535034,"[0.5203300683697728, 0.4509735832075066, 0.4059509328748723, 0.37424116702933197, 0.3543823260349529, 0.3369251860828124, 0.32126889301353656, 0.3101269767879659, 0.30118500758162237, 0.2922387897600889, 0.2850737810226972, 0.2783139615144129, 0.27298905235223453, 0.26808130640591077, 0.2650238792848254, 0.26135687947484976, 0.25738494829745556, 0.25405243490160573, 0.25055363488195004, 0.24965000740057905]","[0.19291666666666668, 0.34062499999999996, 0.468125, 0.55625, 0.6120833333333333, 0.651875, 0.6883333333333334, 0.7175, 0.7304166666666667, 0.749375, 0.7633333333333333, 0.7777083333333333, 0.7849999999999999, 0.7966666666666666, 0.800625, 0.8060416666666668, 0.8135416666666666, 0.8160416666666668, 0.8216666666666667, 0.8227083333333334]",0.6855416666666667
Euclidean_ReLU,300,0.001,0.99,0.0001,88.56650829315186,"[0.2846998772028879, 0.18061703583946317, 0.1328651836106512, 0.11082330004248556, 0.10280735492627303, 0.09687328765251663, 0.09220843123556287, 0.08837931960515834, 0.0866146450017172, 0.084157415814219, 0.08179895143956051, 0.07874754934272842, 0.07767996483936292, 0.07612301410877154, 0.07577068590141267, 0.0746630494764273, 0.07332924636092138, 0.07171372282812516, 0.07071645704692246, 0.07067324762068722]","[0.68625, 0.8447916666666666, 0.8858333333333334, 0.9052083333333334, 0.915, 0.9210416666666666, 0.9285416666666667, 0.9320833333333334, 0.933125, 0.9358333333333333, 0.9379166666666666, 0.9425, 0.9425, 0.9439583333333333, 0.9445833333333333, 0.94625, 0.9477083333333333, 0.94875, 0.9497916666666667, 0.9495833333333332]",0.9170624999999999
CrossEntropy_Sigmoid,300,0.001,0.55,1e-05,79.93586707115173,"[2.2238404375975236, 2.1061308941983325, 2.020228469961957, 1.9379760103865724, 1.863413507463859, 1.7911456489908844, 1.7191559568205936, 1.6585194310046494, 1.5945204226082534, 1.5370438210609405, 1.482632138616153, 1.4280742597018274, 1.3794965458862767, 1.3327240760134114, 1.2912242621186385, 1.2545803361386805, 1.2162126466319279, 1.178713836304253, 1.1408065876741655, 1.1131975663919296]","[0.171875, 0.365, 0.49583333333333335, 0.578125, 0.6266666666666666, 0.6608333333333334, 0.6958333333333333, 0.7216666666666667, 0.7395833333333333, 0.7541666666666667, 0.77, 0.7816666666666667, 0.7893749999999999, 0.80125, 0.8077083333333333, 0.816875, 0.8229166666666667, 0.8295833333333333, 0.834375, 0.838125]",0.6950729166666666
CrossEntropy_ReLU,300,0.001,0.99,1e-05,89.48725175857544,"[0.34793722116382103, 0.24725993974281432, 0.21943307456282618, 0.19103826066467672, 0.18038895082021103, 0.16440440773947954, 0.15522854418636775, 0.14571931311620728, 0.13968213608437854, 0.13166750012707829, 0.12767122984698775, 0.11625202814686644, 0.11775072163978517, 0.1143702993803278, 0.11084004750032628, 0.10798076152072347, 0.10504552667138696, 0.10109267046906284, 0.09840692062039097, 0.09787814767647784]","[0.8966666666666666, 0.9239583333333333, 0.9410416666666666, 0.9485416666666667, 0.9514583333333333, 0.9558333333333333, 0.9589583333333334, 0.961875, 0.9614583333333333, 0.96375, 0.9641666666666667, 0.9670833333333334, 0.9666666666666666, 0.9666666666666666, 0.9675, 0.9695833333333334, 0.9708333333333333, 0.9722916666666667, 0.9724999999999999, 0.9733333333333334]",0.9577083333333334
Euclidean_Sigmoid,600,0.001,0.55,0.0001,89.95640301704407,"[0.6095010316344058, 0.5543381130682878, 0.5093979182971874, 0.4744622822826574, 0.4482727859695513, 0.4231248377319769, 0.4049577636012167, 0.38870474420750645, 0.3746614825583721, 0.36321475475961273, 0.35205211972235306, 0.34264278315186136, 0.3347104530351934, 0.32678140695026037, 0.32159147024278634, 0.3158666879285096, 0.3106211683316984, 0.3052786037347572, 0.3004691535995748, 0.2969090247567419]","[0.14666666666666667, 0.19729166666666667, 0.26479166666666665, 0.3260416666666667, 0.3902083333333333, 0.445625, 0.49083333333333334, 0.5308333333333333, 0.5604166666666668, 0.5883333333333334, 0.6114583333333334, 0.6366666666666667, 0.6558333333333333, 0.6720833333333334, 0.6872916666666666, 0.6975, 0.7110416666666666, 0.7222916666666667, 0.7322916666666667, 0.7420833333333334]",0.5404791666666667
Euclidean_ReLU,600,0.001,0.99,0.0001,90.43768382072449,"[0.37691816545944806, 0.28450462760429074, 0.23955405018631148, 0.19852770754162474, 0.1696758113450344, 0.1465002940622297, 0.13055574703276634, 0.11650261376849787, 0.10748386627803119, 0.09987340163193012, 0.0951352780489472, 0.09046584620190465, 0.08787520448409182, 0.08562469535119052, 0.08464156924308291, 0.08326222523703594, 0.08185985011250298, 0.08020998600574679, 0.07871911405450993, 0.07865358285198656]","[0.54375, 0.6804166666666667, 0.7591666666666668, 0.8172916666666666, 0.8366666666666667, 0.8747916666666666, 0.8922916666666667, 0.9052083333333333, 0.9112499999999999, 0.9185416666666666, 0.9252083333333334, 0.9285416666666666, 0.9333333333333333, 0.936875, 0.9366666666666666, 0.9377083333333334, 0.9393750000000001, 0.9404166666666667, 0.9404166666666667, 0.940625]",0.8749270833333334
CrossEntropy_Sigmoid,600,0.001,0.55,1e-05,79.77183055877686,"[2.503238239069959, 2.298720323406733, 2.2110795157444425, 2.1573202935611735, 2.114001739072008, 2.0737916955963662, 2.032470360447824, 1.994653145914855, 1.9563281900354506, 1.9191191170452717, 1.8815159379395623, 1.8477828855161031, 1.8125724111065282, 1.778917066484743, 1.7466338412405076, 1.7171038879885487, 1.6856326145051623, 1.6539304454547432, 1.6232073507250862, 1.5970496563130663]","[0.10645833333333332, 0.15958333333333333, 0.25083333333333335, 0.3175, 0.36375, 0.4129166666666667, 0.454375, 0.4910416666666667, 0.528125, 0.5564583333333333, 0.5885416666666667, 0.6122916666666667, 0.63625, 0.6552083333333333, 0.6729166666666666, 0.6845833333333333, 0.6991666666666667, 0.7102083333333333, 0.7210416666666667, 0.7316666666666667]",0.5176458333333335
CrossEntropy_ReLU,600,0.001,0.99,1e-05,80.13410592079163,"[0.5761123979013656, 0.3366554806395818, 0.2948398304486195, 0.2510585865062154, 0.23823846120089293, 0.21914501483284532, 0.20544384555626263, 0.19418570562546628, 0.18872052748912754, 0.17872677411036686, 0.17241941343355532, 0.15951249458755157, 0.1603158757889549, 0.15499346635281736, 0.14987742614533878, 0.14607652195875526, 0.14161246910530823, 0.13633526367980636, 0.13287462265948852, 0.13237795767261396]","[0.8456250000000001, 0.900625, 0.913125, 0.9270833333333333, 0.9322916666666666, 0.9391666666666667, 0.9454166666666667, 0.9491666666666666, 0.9495833333333333, 0.9535416666666666, 0.956875, 0.9597916666666667, 0.9606250000000001, 0.9612499999999999, 0.9622916666666665, 0.964375, 0.9664583333333334, 0.9664583333333333, 0.9683333333333333, 0.9675]",0.9444791666666668
