mode,batch_size,learning_rate_SGD,momentum,weight_decay,time,loss_validate,acc_validate,acc_validate_float
CrossEntropy_Sigmoid,100,0.002,0.55,0.1,86.89906191825867,"[1.932807829025553, 1.8312144640883496, 1.8185626050503476, 1.8350493296816968, 1.8594582497768324, 1.883988514849844, 1.9060010438996744, 1.924878913302846, 1.9407602688385168, 1.9540233247400582, 1.9650835060211471, 1.974320349542114, 1.9820571956301132, 1.988561204849832, 1.9940502087905956, 1.9987009874506945, 2.0026569752893013, 2.006034801624125, 2.008929619285308, 2.0114193647737793]","[0.6198, 0.7044, 0.7186, 0.7147999999999999, 0.7032, 0.6885999999999999, 0.6681999999999999, 0.6482000000000001, 0.6265999999999999, 0.6104, 0.594, 0.5792, 0.5665999999999999, 0.5522, 0.5426000000000001, 0.5302, 0.5212, 0.5117999999999999, 0.502, 0.495]",0.6048799999999999
CrossEntropy_ReLU,100,0.002,0.99,0.1,71.97805976867676,"[0.7879878950934635, 0.7854903208513826, 0.7835840384457633, 0.7837821227991776, 0.784901766847796, 0.7856246789240445, 0.7860203973994497, 0.7863338620983997, 0.7864967267305984, 0.7866453845829894, 0.7867408079759036, 0.7867694597577516, 0.7867926881504315, 0.7867740532886971, 0.7867835819460204, 0.7867106831576058, 0.7866754202161921, 0.7866047150084134, 0.7865379082386335, 0.7864677876602408]","[0.8752000000000001, 0.873, 0.8658, 0.8561999999999999, 0.8495999999999999, 0.8472, 0.8475999999999999, 0.8484, 0.8495999999999999, 0.8495999999999999, 0.85, 0.85, 0.85, 0.8502, 0.8502, 0.8502, 0.8502, 0.8502, 0.85, 0.85]",0.8531600000000001
Euclidean_Sigmoid,100,0.006,0.55,0.1,81.19598579406738,"[0.293869566583536, 0.3351184255856864, 0.3687229081923975, 0.38782629464641466, 0.3984983492685844, 0.40478269094752145, 0.4086975697269106, 0.41125549487479973, 0.412994140305269, 0.4142160237424345, 0.41509994104156833, 0.4157559388579404, 0.4162540662150029, 0.41664019993323054, 0.41694513839368613, 0.4171900182579032, 0.41738963957200004, 0.41755455977455097, 0.41769244193549204, 0.41780894001409263]","[0.7888, 0.762, 0.6866, 0.6447999999999999, 0.6074, 0.5764, 0.5482, 0.5238, 0.5094000000000001, 0.4968, 0.49040000000000006, 0.4854, 0.4808, 0.47620000000000007, 0.4728, 0.46940000000000004, 0.46840000000000004, 0.4678, 0.46659999999999996, 0.4646]",0.5443300000000001
Euclidean_ReLU,100,0.006,0.99,0.1,88.35678815841675,"[0.21710536794386281, 0.2118755016866129, 0.21139078527455898, 0.2113432119657905, 0.2112970007620783, 0.21135443436548745, 0.21136936681871166, 0.21137255393710042, 0.2114268822331573, 0.21125041708386608, 0.2111465410156001, 0.211077677506038, 0.21111504698813693, 0.21107998919708312, 0.21107857048731693, 0.21115476505233516, 0.21112894414580313, 0.21115154671905803, 0.21114370369108884, 0.21113105379567593]","[0.8326, 0.8464, 0.8499999999999999, 0.8486, 0.8493999999999998, 0.8498, 0.8498, 0.8499999999999999, 0.8499999999999999, 0.8498, 0.8495999999999999, 0.8493999999999998, 0.8491999999999998, 0.8492000000000001, 0.8489999999999999, 0.8492000000000001, 0.8493999999999999, 0.8493999999999999, 0.8498, 0.8491999999999998]",0.8484899999999997
CrossEntropy_Sigmoid,100,0.006,0.55,0.1,79.56843733787537,"[1.8274061747934096, 1.8877123915942915, 1.9411736368416006, 1.9731373464169477, 1.9922028513885899, 2.0039976550331895, 2.011574612298074, 2.0166108164630874, 2.0200628400172027, 2.0224966371269737, 2.024257871079719, 2.025563522136774, 2.026553115286379, 2.0273183481798127, 2.027920721931837, 2.028402290464765, 2.0287923536886177, 2.02911170360326, 2.029375364002882, 2.0295943861571084]","[0.742, 0.71, 0.6556000000000001, 0.606, 0.5716, 0.5436, 0.5246, 0.5076, 0.493, 0.48219999999999996, 0.4735999999999999, 0.46580000000000005, 0.4578, 0.4513999999999999, 0.44660000000000005, 0.4422, 0.4398, 0.4368000000000001, 0.43300000000000005, 0.4302]",0.5156699999999999
CrossEntropy_ReLU,100,0.006,0.99,0.1,82.44443130493164,"[0.8058150286993246, 0.8019958532767915, 0.800353569808252, 0.7993515925886467, 0.7987749517724956, 0.7987330156557565, 0.7987310625037529, 0.7987544391454919, 0.7986075101183323, 0.7984019500448777, 0.7982494451007465, 0.798383607907316, 0.7984475678836261, 0.7983970715863294, 0.7986431074905791, 0.7987306842877903, 0.7989256306994534, 0.7992876947942362, 0.799148040880225, 0.7990251225062609]","[0.8568000000000001, 0.8590000000000001, 0.858, 0.8598, 0.8602000000000001, 0.8602000000000001, 0.8610000000000001, 0.8626, 0.8623999999999999, 0.8645999999999999, 0.8658, 0.8664000000000001, 0.8658, 0.8661999999999999, 0.8662000000000001, 0.8679999999999999, 0.8687999999999999, 0.8687999999999999, 0.8690000000000001, 0.8689999999999999]",0.8639300000000001
Euclidean_Sigmoid,100,0.01,0.55,0.1,89.67076373100281,"[0.3214924239652578, 0.377256621556177, 0.3993172454249981, 0.4083933231493162, 0.4127304015777979, 0.4150486306389638, 0.4163972523402603, 0.417237354958934, 0.4177915839442016, 0.418175403524223, 0.41845227547236413, 0.4186588756173267, 0.4188173757358778, 0.41894174118213656, 0.4190411052289154, 0.4191216495677674, 0.41918769076902246, 0.41924232930690297, 0.41928784947546527, 0.41932597298024843]","[0.7576000000000002, 0.6422, 0.564, 0.5197999999999999, 0.49579999999999996, 0.47840000000000005, 0.45660000000000006, 0.4438000000000001, 0.43000000000000005, 0.4186000000000001, 0.41200000000000003, 0.4068, 0.40380000000000005, 0.4006, 0.3972, 0.39299999999999996, 0.3908, 0.3892, 0.38800000000000007, 0.3874000000000001]",0.45877999999999997
Euclidean_ReLU,100,0.01,0.99,0.1,90.2772216796875,"[0.21952532862442098, 0.2156188838998021, 0.2159233138553011, 0.21544648669983787, 0.2154705748255655, 0.21554442370508947, 0.21570945707104225, 0.21543209493706378, 0.21573026530855433, 0.21530174416980014, 0.2154999232778856, 0.2154884825877713, 0.2157106073443545, 0.2152675171837498, 0.21531684620138386, 0.21511057389217, 0.2152194769136273, 0.2155019447436998, 0.2152306135779896, 0.21530418149979522]","[0.8234, 0.8266, 0.8271999999999999, 0.8256, 0.8262, 0.8248000000000001, 0.8248000000000001, 0.8250000000000002, 0.8282, 0.8256, 0.8290000000000001, 0.8260000000000001, 0.8282, 0.8288000000000001, 0.8275999999999999, 0.83, 0.828, 0.8276, 0.8271999999999999, 0.8301999999999998]",0.8270000000000002
CrossEntropy_Sigmoid,100,0.01,0.55,0.1,84.51162910461426,"[1.885322847258638, 1.967326557864623, 2.00217903750157, 2.0172724143682284, 2.0244078950720863, 2.02804422945111, 2.0300279549803197, 2.031182676253834, 2.0318965869927212, 2.0323612564939157, 2.0326754842846717, 2.0328926816273274, 2.0330432794057316, 2.0331456462983866, 2.033211557949472, 2.033249015723698, 2.0332637461721523, 2.033260028497431, 2.033241171091745, 2.033209799480888]","[0.7176, 0.6162, 0.5506, 0.5159999999999999, 0.4928, 0.47739999999999994, 0.4664, 0.45699999999999996, 0.4482, 0.4428000000000001, 0.4382, 0.4366, 0.4328, 0.43160000000000004, 0.429, 0.4281999999999999, 0.42700000000000005, 0.4266, 0.426, 0.425]",0.47430000000000005
CrossEntropy_ReLU,100,0.01,0.99,0.1,101.83145022392273,"[0.8088454721175183, 0.7917242602754907, 0.8174776452866568, 0.8157123867839543, 0.8132529585391985, 0.8128744872086474, 0.811418691791439, 0.8091535704466724, 0.807924064585368, 0.8066113017378136, 0.8063108681936976, 0.8063265193548562, 0.8059065343694255, 0.806867736572907, 0.8065275300964087, 0.8063429633873401, 0.805911454657766, 0.8059835361807286, 0.8054097211275237, 0.805755872478823]","[0.8493999999999999, 0.8557999999999999, 0.8271999999999999, 0.8305999999999999, 0.8364, 0.8391999999999998, 0.8458, 0.8512000000000002, 0.8519999999999999, 0.8532000000000001, 0.8539999999999999, 0.8544000000000002, 0.8542000000000001, 0.8536, 0.8536, 0.8536, 0.8543999999999999, 0.8538, 0.8539999999999999, 0.8538]",0.84901
