net_function,loss_function,optimizer_function,weight_decay,momentum,lr,use_lr_scheduler,use_lr_scheduler_StepLR,epoch,val_loss,val_dsc
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,28,0.3741116410210019,0.9043749686875548
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,29,0.3731015892255874,0.8141614724955091
UNet,DiceLoss,Adam,0,0.9,0.0001,True,True,30,0.36941650084086824,0.8138652135563553
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,1,0.918979905900501,0.3103633078719047
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,2,0.9017429323423476,0.6178405920335417
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,3,0.8817822961580186,0.7088136492335905
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,4,0.8543701455706642,0.7445823428927492
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,5,0.8183476541723523,0.7803656808047691
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,6,0.7776353515329815,0.7720944197889634
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,7,0.7455381367887769,0.7898964345073789
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,8,0.7059082729475838,0.79228934207798
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,9,0.6676826916989826,0.7988908763797702
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,10,0.635459188904081,0.8029347496112388
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,11,0.5980212674254463,0.8080725349147574
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,12,0.576772982165927,0.8092238373358287
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,13,0.5535806921266374,0.8085748720050019
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,14,0.5373215327660242,0.804748184620396
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,15,0.5111900582200005,0.8996943805057095
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,16,0.4965278747535887,0.8985588028663318
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,17,0.48476558994679225,0.89929428862992
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,18,0.47311308909030186,0.9030696646764899
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,19,0.459868739758219,0.8981693865688911
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,20,0.4553514307453519,0.9058419311463725
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,21,0.4479632338597661,0.8104423774454739
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,22,0.4427135228401139,0.8111896655691286
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,23,0.44025204862867084,0.8097769736031708
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,24,0.42938737145492006,0.8087153761540341
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,25,0.4259348593297459,0.8101380235761682
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,26,0.42173184348004206,0.8091172066882271
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,27,0.41980541071721483,0.8119471368501158
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,28,0.4180954893430074,0.8095923657968196
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,29,0.4156960483108248,0.809906748790125
UNet,FocalTverskyLoss,Adam,0,0.9,0.0001,True,True,30,0.4118690983880134,0.8123668326197059
